from_id,to_id,from_type,to_type,from_location,to_location,distance_miles,travel_time_minutes,deadheading_cost,waiting_cost,delay_risk_cost,total_cost,waiting_time_minutes
fellsway_garage,65802629,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802630,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802631,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802632,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802633,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802634,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802635,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802636,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802637,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802657,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
fellsway_garage,65802658,depot,trip,fellsway_garage,welst,2.0,10.0,15.0,0.0,0.0,15.0,
fellsway_garage,65802659,depot,trip,fellsway_garage,elm,1.7,8.5,12.75,0.0,0.0,12.75,
65802629,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802630,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802631,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802632,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802633,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802634,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802635,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802636,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802637,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802657,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802658,fellsway_garage,trip,depot,elm,fellsway_garage,1.7,8.5,12.75,0.0,0.0,12.75,
65802659,fellsway_garage,trip,depot,welst,fellsway_garage,2.0,10.0,15.0,0.0,0.0,15.0,
65802629,65802630,trip,trip,elm,elm,0.1,0.5,0.75,1.75,15.933333333333334,18.433333333333334,3.5
65802629,65802631,trip,trip,elm,welst,1.5,7.5,11.25,5.75,15.933333333333334,32.93333333333334,11.5
65802629,65802632,trip,trip,elm,elm,0.1,0.5,0.75,16.75,15.933333333333334,33.43333333333334,33.5
65802629,65802633,trip,trip,elm,welst,1.5,7.5,11.25,20.75,15.933333333333334,47.93333333333334,41.5
65802629,65802634,trip,trip,elm,elm,0.1,0.5,0.75,31.75,15.933333333333334,48.43333333333334,63.5
65802629,65802635,trip,trip,elm,welst,1.5,7.5,11.25,35.75,15.933333333333334,62.93333333333334,71.5
65802629,65802636,trip,trip,elm,elm,0.1,0.5,0.75,46.75,15.933333333333334,63.43333333333334,93.5
65802629,65802637,trip,trip,elm,welst,1.5,7.5,11.25,50.75,15.933333333333334,77.93333333333334,101.5
65802629,65802657,trip,trip,elm,elm,0.1,0.5,0.75,61.75,15.933333333333334,78.43333333333334,123.5
65802629,65802658,trip,trip,elm,welst,1.5,7.5,11.25,65.75,15.933333333333334,92.93333333333334,131.5
65802629,65802659,trip,trip,elm,elm,0.1,0.5,0.75,76.75,15.933333333333334,93.43333333333334,153.5
65802630,65802631,trip,trip,welst,welst,0.1,0.5,0.75,1.25,18.433333333333334,20.433333333333334,2.5
65802630,65802632,trip,trip,welst,elm,1.5,7.5,11.25,5.25,18.433333333333334,34.93333333333334,10.5
65802630,65802633,trip,trip,welst,welst,0.1,0.5,0.75,16.25,18.433333333333334,35.43333333333334,32.5
65802630,65802634,trip,trip,welst,elm,1.5,7.5,11.25,20.25,18.433333333333334,49.93333333333334,40.5
65802630,65802635,trip,trip,welst,welst,0.1,0.5,0.75,31.25,18.433333333333334,50.43333333333334,62.5
65802630,65802636,trip,trip,welst,elm,1.5,7.5,11.25,35.25,18.433333333333334,64.93333333333334,70.5
65802630,65802637,trip,trip,welst,welst,0.1,0.5,0.75,46.25,18.433333333333334,65.43333333333334,92.5
65802630,65802657,trip,trip,welst,elm,1.5,7.5,11.25,50.25,18.433333333333334,79.93333333333334,100.5
65802630,65802658,trip,trip,welst,welst,0.1,0.5,0.75,61.25,18.433333333333334,80.43333333333334,122.5
65802630,65802659,trip,trip,welst,elm,1.5,7.5,11.25,65.25,18.433333333333334,94.93333333333334,130.5
65802631,65802632,trip,trip,elm,elm,0.1,0.5,0.75,1.75,12.333333333333334,14.833333333333334,3.5
65802631,65802633,trip,trip,elm,welst,1.5,7.5,11.25,5.75,12.333333333333334,29.333333333333336,11.5
65802631,65802634,trip,trip,elm,elm,0.1,0.5,0.75,16.75,12.333333333333334,29.833333333333336,33.5
65802631,65802635,trip,trip,elm,welst,1.5,7.5,11.25,20.75,12.333333333333334,44.333333333333336,41.5
65802631,65802636,trip,trip,elm,elm,0.1,0.5,0.75,31.75,12.333333333333334,44.833333333333336,63.5
65802631,65802637,trip,trip,elm,welst,1.5,7.5,11.25,35.75,12.333333333333334,59.333333333333336,71.5
65802631,65802657,trip,trip,elm,elm,0.1,0.5,0.75,46.75,12.333333333333334,59.833333333333336,93.5
65802631,65802658,trip,trip,elm,welst,1.5,7.5,11.25,50.75,12.333333333333334,74.33333333333333,101.5
65802631,65802659,trip,trip,elm,elm,0.1,0.5,0.75,61.75,12.333333333333334,74.83333333333333,123.5
65802632,65802633,trip,trip,welst,welst,0.1,0.5,0.75,1.25,15.666666666666666,17.666666666666664,2.5
65802632,65802634,trip,trip,welst,elm,1.5,7.5,11.25,5.25,15.666666666666666,32.166666666666664,10.5
